# Koordinaten-Liste (Lat, Lon)
# Export: 08.10.2025 07:25:29
# Gesamt: 493 Koordinaten

50.920676,14.013651  # abschleppdienst lesche gbr
51.014642,13.775192  # adrian gl´┐¢ckner automobile gmbh
51.014642,13.775192  # adrian glöckner automobile gmbh
50.957821,13.915125  # ag
50.937230,13.920672  # agroservice pirna gmbh
51.092640,13.669569  # ais dresden gmbh
51.183668,14.403084  # akf fahrzeugteile gmbh
51.042570,13.782165  # alf häse - autoservice
50.881770,14.021567  # andreas ebert
51.004580,13.811222  # andré zerbst
50.973714,13.634702  # anhänger kunath e.k.
50.852071,13.612161  # as frank zimmermann
50.908534,13.598011  # ash dirk häger
51.047014,13.708184  # astral ug
50.930452,13.063683  # atm reparaturzentrum
51.050833,13.706227  # atw fahrzeugteile
51.101643,13.663724  # auto - heller
50.943053,13.700026  # auto - kühlerdienst henke kg
51.041686,13.641452  # auto becker
51.050558,13.778374  # auto brückner gmbh & co. kg
51.162443,13.680157  # auto christen
50.900179,13.010582  # auto damm e.k.
51.136732,13.459096  # auto dienst meissen
50.990360,13.642030  # auto doktor gbr
51.013398,13.670667  # auto haase
51.015209,13.788057  # auto j´┐¢rgen pfeiffer kg
51.015209,13.788057  # auto jürgen pfeiffer kg
51.028432,13.705270  # auto lust
51.430521,14.232765  # auto otto
51.430529,14.232713  # auto otto
50.906800,13.741892  # auto service meusel
50.906822,13.741893  # auto service meusel
51.009137,13.811655  # auto-mösch
50.988759,13.848905  # auto-service m´┐¢ller gbr
50.988759,13.848905  # auto-service möller gbr
50.978929,13.944446  # auto-stäps gmbh
51.040085,13.792637  # auto-technik24 gmbh
51.003297,13.681398  # autoburgk lohse
51.064908,13.897134  # autocenter dresden gmbh
51.014382,13.724017  # autocenter dresden gmbh
51.092048,13.671657  # autocenter strehle e.k.
50.842905,13.772346  # autodienst tilo bretschneider
51.034676,13.820432  # autoeck24.de
50.867342,14.000768  # autofreund-lindner
51.028061,13.706561  # autohaus
51.043977,13.782613  # autohaus borsbergstraße gmbh
51.061567,13.711926  # autohaus dresden gmbh
51.022374,13.627234  # autohaus emmrich e.k.
51.001583,13.849511  # autohaus fischer
51.165954,13.559779  # autohaus frank grassel
51.025134,13.732427  # autohaus friedewald
50.969018,13.712766  # autohaus godzik ohg
50.969018,13.712766  # autohaus godzik ohg
51.016860,13.641274  # autohaus gröbel gmbh
50.907951,13.691128  # autohaus hüttel
50.875278,13.949755  # autohaus in berggießhübel gmbh
51.174650,13.498008  # autohaus lassotta gmbh
50.795231,13.810716  # autohaus leuteritz gmbh
50.978406,13.868497  # autohaus olaf streit
50.957652,13.937468  # autohaus pirna gmbh
51.074954,13.665563  # autohaus rainer fiedler e.k.
51.082138,14.020619  # autohaus sachmann
51.039673,13.798657  # autohaus striesen
50.980392,13.716698  # autohaus winter gmbh
51.016171,13.668523  # autohof döhlen
51.220921,13.726458  # autohof radeburg gmbh
51.125059,13.574433  # autohäusler
51.069673,13.734058  # autoklimazentrum dresden
51.013179,13.804567  # automatikgetriebeservice
51.006539,13.821662  # automeisterei
51.067284,13.891138  # automobile dresden weißig
50.559002,8.467470  # automobile parts rhein-main ug
51.017212,13.788129  # autopark lohrmannstraße
50.973638,13.872931  # autopark pirnaer straße
51.001260,13.687136  # autoreparaturwerk freital kg
50.877276,13.959060  # autoservice arnold
51.070630,13.698724  # autoservice baumeister
51.049036,13.686698  # autoservice bernhardt
51.015314,13.682354  # autoservice dana böttcher
51.016586,13.797959  # autoservice g´┐¢rtner
51.016586,13.797959  # autoservice gärtner
51.008880,13.786660  # autoservice heinze gmbh
51.107809,13.626111  # autoservice kartunov
50.983982,13.595533  # autoservice k´┐¢pnick
50.983982,13.595533  # autoservice köpnick
51.023455,13.838876  # autoservice laubegast
51.037133,13.898556  # autoservice leuthold
51.037118,13.898501  # autoservice leuthold
51.079083,13.708628  # autoservice petters gmbh
50.998352,13.605136  # autoservice pohlmann
51.014548,13.667793  # autoservice schubert
51.005992,13.823802  # autoservice und fahrzeugbau steglich
51.147801,13.459502  # autoservice winkler
51.038539,13.739799  # autoservice wolf
50.717923,13.188588  # autoteile b´┐¢rner
50.717923,13.188588  # autoteile börner
51.096049,13.660551  # autoteile ehrlich
50.701800,12.445094  # autoteile und zubeh´┐¢r
50.701800,12.445094  # autoteile und zubehör
51.077981,13.704800  # autovermietung vetter
51.036704,13.705584  # basti's kfz-werkstatt
50.914512,14.070076  # bauservice tilo richter
50.917568,14.073961  # bauservice tilo richter
51.155129,13.117825  # baywa ag döbeln
49.153305,12.763898  # baywa ag miltach
50.958645,13.928725  # bernd forker gmbh
50.927334,13.930813  # bistra bau gmbh & co. kg
51.015285,13.662913  # blizzboy r´┐¢thig
51.015285,13.662913  # blizzboy röthig
51.005876,13.819853  # blumentritt
51.004845,13.823335  # blumentritt diesel-einspritztechnik
51.966296,11.125248  # bosse mechanik
51.057427,13.886436  # brussig - der elektro-fachmann
51.025876,13.731255  # büttner
51.074123,13.736843  # car repair
51.046208,13.708457  # car-art gmbh
51.046208,13.708457  # car-art gmbh
51.050000,13.750000  # car-art gmbh
51.006746,13.813975  # car-art gmbh
50.889863,12.349055  # car-center
51.074123,13.736843  # car-repair
51.017198,13.671859  # car-wellness-dresden
50.975675,13.943036  # carzone pirna
50.898872,13.658231  # dachdeckerbetrieb heber
51.003419,13.613706  # dellentechnik andreas simßen
51.047422,13.708650  # die meister
50.965823,13.854157  # die-autogesellschaft-dresden.d
50.965368,13.883498  # die-autogesellschaft-dresden.d
50.965368,13.883498  # die-autogesellschaft-dresden.de
50.965823,13.854157  # die-autogesellschaft-dresden.de
50.532818,12.993079  # dietze & schindler
50.532818,12.993079  # dietze & schindler
50.532844,12.993080  # dietze & schindler
50.532818,12.993079  # dietze & schindler
51.136240,13.482824  # die´┐¢ner & m´┐¢ske gbr
51.136240,13.482824  # dießner & müske gbr
51.038539,13.739799  # distrex fahrzeugservice e.k.
50.975147,13.876508  # dreihundert dresden
50.975147,13.876508  # dreihundert dresden
51.016423,13.808196  # dresden-strehlener kfz-technik gmbh
51.079930,13.760142  # dresdner klassiker handel gmbh
51.066019,13.895945  # dresdner reifen zentrale gmbh
51.045958,13.707160  # dresdner reifen zentrale gmbh
51.035257,13.585915  # dresdner reifen zentrale gmbh
51.017934,13.788558  # dresdner reifen zentrale gmbh
51.079930,13.760142  # dresdner reifen zentrale gmbh
50.953279,13.729206  # dresdner vorgebirgs agrar ag
51.006605,13.655993  # drk rettungsdienst freital
50.916579,14.028450  # esw autoservice gmbh
50.994120,13.645597  # f & t fahrzeug-technik gmbh
51.003294,13.787690  # f.h. wheel center gmbh
51.004487,13.836832  # f.h. wheel center gmbh
51.017460,11.036651  # fa. autohaus langenhan
51.129441,13.546105  # fa. wilms
52.343866,14.530453  # fa. zwiener
51.258536,13.888404  # fa.broßmann gmbh
